Date,Open,Max,Min,Close,Volume
2015-12-06,370.84,402.19,347.16,393.38,0
2015-12-13,393.38,467.71,381.69,434.69,0
2015-12-20,434.69,466.12,428.84,441.78,0
2015-12-27,441.78,460.62,400.45,422.39,0
2016-01-03,422.39,437.95,417.14,430.7,0
2016-01-10,430.7,462.92,425,446.19,0
2016-01-17,446.19,451.08,350.39,382.47,0
2016-01-24,382.47,425.72,373.21,402.13,0
2016-01-31,402.13,403.78,363.49,369.84,0
2016-02-07,369.84,391.83,365.27,377.94,0
2016-02-14,377.94,405.93,371.42,405.5,0
2016-02-21,405.5,447.61,396.56,437.87,0
2016-02-28,437.87,440.76,410.36,432.47,0
2016-03-06,432.47,441.32,386.93,405.96,0
2016-03-13,405.96,422.4,401.98,412.41,0
2016-03-20,412.41,419.56,402.13,411.53,0
2016-03-27,411.53,427.36,407.25,424.57,0
2016-04-03,424.57,425.36,406.36,419.06,0
2016-04-10,419.06,423.67,412.39,420.25,0
2016-04-17,420.25,432,418.11,426.26,0
2016-04-24,426.26,461.78,424.35,457.56,0
2016-05-01,457.56,468.86,433.9,452.24,0
2016-05-08,452.24,461.48,440.21,457.87,0
2016-05-15,457.87,464.18,446.81,458.11,0
2016-05-22,458.11,459.57,435.42,439.62,0
2016-05-29,439.62,548.04,438.24,516.05,0
2016-06-05,516.05,592.68,512.81,574.91,0
2016-06-12,574.91,683.85,543.63,666.55,0
2016-06-19,666.55,776.04,652.78,761.04,0
2016-06-26,761.04,764.6,539.28,625.41,0
2016-07-03,625.41,701.49,615.22,661.64,0
2016-07-10,661.64,679.19,604.95,647.11,0
2016-07-17,647.11,680.94,639.97,676.33,0
2016-07-24,676.33,680.42,645.69,659.29,0
2016-07-31,659.29,662.51,621.42,621.87,0
2016-08-07,621.87,627.89,471.36,590.85,0
2016-08-14,590.85,600.52,559.93,569.06,0
2016-08-21,569.06,585.32,559.28,580.66,0
2016-08-28,580.66,591.9,567.25,574.98,0
2016-09-04,574.98,704.97,569.3,609.55,0
2016-09-11,609.55,630.77,592.79,605.61,0
2016-09-18,605.61,612.38,603.03,610.7,0
2016-09-25,610.7,612.41,591.69,601.49,0
2016-10-02,601.49,615,598.17,610.69,0
2016-10-09,610.69,619.56,606.5,615.77,0
2016-10-16,615.77,642.51,612.76,640.12,0
2016-10-23,640.12,661.2,624.09,653.03,0
2016-10-30,653.03,720.19,645.68,697.27,0
2016-11-06,697.27,744.43,670.4,709.91,0
2016-11-13,709.91,741.23,685.01,701.97,0
2016-11-20,701.97,755.34,696.11,728.51,0
2016-11-27,728.51,754.01,725.62,729.42,0
2016-12-04,729.42,779.02,727.74,766.39,0
2016-12-11,766.39,776.96,746.01,767.91,0
2016-12-18,767.91,791.57,767.77,789.01,0
2016-12-25,789.01,920.49,786.31,891.07,0
2017-01-01,891.07,1001.61,885.88,995.44,0
2017-01-08,995.44,1150.63,806.66,900.86,0
2017-01-15,900.86,917.65,739.55,821.17,0
2017-01-22,821.17,938.38,817.7,918.84,0
2017-01-29,918.84,927.98,883.63,914.55,0
2017-02-05,914.55,1041.04,911.51,1016.11,0
2017-02-12,1016.11,1073.03,924.65,996.52,0
2017-02-19,996.52,1063.21,975.1,1048.89,0
2017-02-26,1048.89,1211.74,1040.99,1171.58,0
2017-03-05,1171.58,1291.35,1154.55,1271.22,0
2017-03-12,1271.22,1330.42,988.69,1225.11,0
2017-03-19,1225.11,1260.24,940.18,1022.6,0
2017-03-26,1022.6,1125.53,890.43,969.44,0
2017-04-02,969.44,1109.48,961.8,1097.4,0
2017-04-09,1097.4,1215.1,1095.55,1204.34,0
2017-04-16,1204.34,1229.57,841.53,1176.8,0
2017-04-23,1176.8,1256.97,1172.81,1249.14,0
2017-04-30,1249.14,1358.94,1234.86,1351.91,0
2017-05-07,1351.91,1609.84,1342.78,1554.45,0
2017-05-14,1554.45,1864.76,1552.86,1772.55,0
2017-05-21,1772.55,2094.94,1653.72,2044.19,0
2017-05-28,2044.19,2781.76,1868.56,2189.02,0
2017-06-04,2189.02,2582.77,2117.34,2524.06,0
2017-06-11,2524.06,2977.86,2523.92,2973.45,0
2017-06-18,2973.45,2985.06,2125.56,2539.56,0
2017-06-25,2539.56,2804.41,2472.37,2541.62,0
2017-07-02,2541.62,2616.95,2309.63,2536.46,0
2017-07-09,2536.46,2658.73,2480.62,2511.43,0
2017-07-16,2511.43,2530.34,1808.99,1914.09,0
2017-07-23,1914.09,2932.81,1913.79,2756.61,0
2017-07-30,2756.61,2843.78,2441.54,2766.49,0
2017-08-06,2766.49,3344.01,2659.62,3232.03,0
2017-08-13,3232.03,4189.42,3198.51,4062.6,0
2017-08-20,4062.6,4487.5,3837.13,4066.6,0
2017-08-27,4066.6,4461.71,3612.21,4345.75,0
2017-09-03,4345.75,4976.52,4195.23,4612.92,0
2017-09-10,4612.92,4699.59,4004.62,4245.89,0
2017-09-17,4245.89,4387.76,2979.88,3689.61,0
2017-09-24,3689.61,4122.75,3505.81,3667.52,0
2017-10-01,3667.52,4412.62,3665.67,4403.09,0
2017-10-08,4403.09,4622.87,4143.35,4611.7,0
2017-10-15,4611.7,5862.69,4556.15,5688.14,0
2017-10-22,5677.35,6187.2,5114.87,5982.86,0
2017-10-29,5982.86,6295.43,5375.64,6147.52,0
2017-11-05,6147.7,7599.44,6018.97,7389.55,0
2017-11-12,7389.55,7869.1,5493.64,5878.13,0
2017-11-19,5878.09,8100.87,5828.34,8042.64,0
2017-11-26,8042.64,9474.62,7819.06,9318.42,0
2017-12-03,9318.42,11851.09,8938.7,11246.21,0
2017-12-10,11244.2,17294.85,10917.81,15059.6,0
2017-12-17,15060.45,19870.62,15024.56,19065.71,0
2017-12-24,19065.71,19221.1,10875.71,13789.95,0
2017-12-31,13789.95,16514.59,11962.09,13850.4,0
2018-01-07,13850.49,17252.85,12877.67,16228.16,0
2018-01-14,16228.26,16302.92,12825.95,13638.63,0
2018-01-21,13638.63,14355.82,9205.38,11549.93,0
2018-01-28,11549.98,12060.75,9980.5,11800.88,0
2018-02-04,11801.53,11859.22,7791.78,8433.93,0
2018-02-11,8438.75,9075.66,5969.52,8315.35,0
2018-02-18,8315.02,11287.9,8037.91,10603.75,0
2018-02-25,10601.84,11801.98,9330.08,9692.76,0
2018-03-04,9691.52,11527.72,9412.63,11419.18,0
2018-03-11,11417.81,11693.55,8397.35,9528.61,0
2018-03-18,9523.61,9904.88,7336.29,8165.37,0
2018-03-25,8167.32,9180.67,8133.46,8640.39,0
2018-04-01,8641.87,8669.04,6464.83,6845.22,0
2018-04-08,6845.83,7528.7,6526.97,7027.22,0
2018-04-15,7026.84,8425.7,6633.79,8326.13,0
2018-04-22,8327.2,9043.44,7864.98,8941.44,0
2018-04-29,8943.08,9764.72,8670.43,9330.88,0
2018-05-06,9331.93,9967.97,8853.75,9551.57,0
2018-05-13,9551.9,9661.82,8226.93,8672.16,0
2018-05-20,8673.12,8879.97,7940.81,8538.82,0
2018-05-27,8538.47,8580.34,7257.11,7344.5,0
2018-06-03,7343.25,7774.88,7069.51,7701.36,0
2018-06-10,7699.13,7758.87,6665.67,6749.77,0
2018-06-17,6750.76,6912.44,6148.43,6517.81,0
2018-06-24,6517.74,6833.72,5782.48,6166.82,0
2018-07-01,6167.37,6500.59,5816.11,6355.72,0
2018-07-08,6354.93,6808.33,6277.93,6755.49,0
2018-07-15,6755,6802.03,6086.88,6388.05,0
2018-07-22,6388.45,7675.06,6350.66,7373.14,0
2018-07-29,7374.54,8479.83,7346.54,8192.23,0
2018-08-05,8191.12,8269.9,6899.85,7061.19,0
2018-08-12,7060.41,7159.28,6014.78,6374.74,0
2018-08-19,6374.99,6619.52,5900.11,6514.69,0
2018-08-26,6514.23,6883.46,6250.04,6698.3,0
2018-09-02,6698.07,7376.88,6677.05,7285.9,0
2018-09-09,7286.55,7417.19,6135.87,6378.31,0
2018-09-16,6376.58,6588.84,6199.58,6502.68,0
2018-09-23,6502.08,6833.21,6131.69,6679.9,0
2018-09-30,6680.28,6803.95,6335.21,6582.18,0
2018-10-07,6581.9,6668.39,6429.75,6572.95,0
2018-10-14,6573.85,6697.92,6173.1,6295.93,0
2018-10-21,6295.93,7198.02,6245.02,6534.59,0
2018-10-28,6534.54,6535.28,6439.33,6460.29,0
2018-11-04,6460.29,6497.44,6241.91,6447.79,0
2018-11-11,6447.79,6562.71,6328.51,6366.41,0
2018-11-18,6366.41,6435.03,5300.75,5606.2,0
2018-11-25,5605.98,5615.83,3550.46,4001.87,0
2018-12-02,4002.03,4436.14,3599.09,4165.14,0
2018-12-09,4165.99,4186.72,3248.78,3589.11,0
2018-12-16,3585.13,3645.11,3169.82,3257.64,0
2018-12-23,3257.64,4247.01,3240.9,4013.32,0
2018-12-30,4013.32,4303.37,3623.27,3885.54,0
2019-01-06,3885.54,4143.19,3697.27,4089.15,0
2019-01-13,4089.24,4155.22,3528.26,3540.66,0
2019-01-20,3540.78,3783.82,3530.13,3578.57,0
2019-01-27,3578.17,3674.9,3477.55,3572.1,0
2019-02-03,3572.11,3572.37,3369.91,3436.99,0
2019-02-10,3437.1,3734.63,3363.36,3656.96,0
2019-02-17,3656.96,3704.6,3568.69,3650.95,0
2019-02-24,3651.17,4221.01,3648.81,3798.13,0
2019-03-03,3798.05,3884.8,3701.91,3809.5,0
2019-03-10,3809.5,3974.98,3705.16,3933.73,0
2019-03-17,3933.12,4069.08,3827.56,4003.04,0
2019-03-24,4003.07,4081.26,3954.33,3991.24,0
2019-03-31,3991.53,4146.82,3888.53,4112.79,0
2019-04-07,4112.79,5334.14,4084.95,5169.48,0
2019-04-14,5170.12,5455.35,4930.2,5113.97,0
2019-04-21,5114.81,5366.19,4976.26,5283.02,0
