Date;Open;High;Low;Close;Volume
15.12.2008;516.5;575.5;515.0;563.25;147471
22.12.2008;565.5;602.5;553.0;599.25;54259
29.12.2008;599.25;616.0;584.75;611.0;89691
05.01.2009;613.0;646.25;596.25;629.5;173158
12.01.2009;629.75;637.5;560.5;578.25;155892
19.01.2009;579.0;598.75;548.25;582.75;147343
26.01.2009;583.75;611.0;566.25;568.0;159394
02.02.2009;568.0;571.0;538.75;557.0;193675
09.02.2009;560.25;577.0;534.5;535.5;201146
16.02.2009;536.0;537.25;504.5;519.25;172924
23.02.2009;522.0;534.0;505.0;510.5;138535
02.03.2009;508.0;522.25;488.25;516.25;24602
09.03.2009;516.0;527.5;496.75;506.5;25283
16.03.2009;514.25;561.0;511.5;550.25;195035
23.03.2009;552.0;563.0;503.0;507.25;154559
30.03.2009;509.0;564.75;501.0;563.5;225551
06.04.2009;566.0;572.75;521.0;522.0;188760
13.04.2009;522.0;533.25;513.5;523.0;177532
20.04.2009;522.0;533.75;500.75;532.25;128503
27.04.2009;531.75;560.5;507.0;557.25;113480
04.05.2009;546.75;581.25;535.0;580.5;15458
11.05.2009;575.75;595.25;569.5;577.5;68453
18.05.2009;572.0;618.0;563.25;612.5;204932
25.05.2009;609.25;646.25;602.5;637.25;169560
01.06.2009;636.75;677.0;614.25;623.0;349497
08.06.2009;623.25;625.0;577.0;584.75;282496
15.06.2009;587.0;587.25;552.0;555.25;206510
22.06.2009;555.0;555.5;528.0;534.25;212234
29.06.2009;534.25;540.0;495.75;500.25;97598
06.07.2009;499.0;501.0;483.5;491.75;20130
13.07.2009;493.75;549.0;491.25;541.75;137436
20.07.2009;541.75;553.75;513.25;516.25;172407
27.07.2009;516.25;530.0;505.25;528.25;149425
03.08.2009;531.75;557.5;488.0;489.5;301590
10.08.2009;488.0;501.5;473.75;481.75;231876
17.08.2009;481.25;481.25;457.75;460.25;106111
24.08.2009;460.25;489.0;459.5;467.0;98496
31.08.2009;467.0;473.5;445.0;444.0;34515
07.09.2009;442.25;446.5;425.25;441.75;1548
14.09.2009;431.0;481.5;431.0;457.25;154211
21.09.2009;457.0;477.25;448.0;449.75;204345
28.09.2009;462.0;462.0;439.25;441.25;159016
05.10.2009;441.25;483.0;439.25;468.0;203388
12.10.2009;470.25;529.0;464.75;498.75;215707
19.10.2009;497.25;574.75;495.75;547.75;271866
26.10.2009;546.5;559.75;488.0;494.25;268767
02.11.2009;490.0;528.25;487.75;497.25;221386
09.11.2009;498.0;541.75;496.75;539.0;300524
16.11.2009;542.0;583.5;535.0;559.75;288435
23.11.2009;559.0;579.75;530.5;548.75;140527
30.11.2009;550.25;576.25;534.25;536.75;43972
07.12.2009;537.25;538.75;511.0;519.25;8528
14.12.2009;517.0;547.0;514.25;528.0;186978
21.12.2009;527.25;531.25;515.25;524.5;63735
28.12.2009;524.5;554.75;522.5;541.5;89761
04.01.2010;544.75;570.0;544.0;568.5;184247
11.01.2010;569.0;575.0;509.25;510.0;210678
18.01.2010;511.0;515.25;485.25;498.5;163582
25.01.2010;500.25;504.0;473.0;474.0;202207
01.02.2010;476.0;494.75;466.5;473.25;290310
08.02.2010;479.5;503.0;476.25;486.5;301596
15.02.2010;490.0;509.0;477.5;489.75;184130
22.02.2010;489.75;507.0;485.25;506.5;141441
01.03.2010;508.0;513.0;482.25;482.25;20519
08.03.2010;484.0;487.25;466.0;472.25;26746
15.03.2010;484.75;498.25;476.75;483.75;137504
22.03.2010;484.25;492.75;464.0;464.75;139383
29.03.2010;465.5;474.25;449.5;454.75;125538
