Date,Open,Max,Min,Close,Volume
1982-05-31,6.43255,6.62549,6.14282,6.18992,39925187.463284
1982-06-30,6.18992,6.43255,5.99827,6.38421,53086372.571375
1982-07-31,6.38421,7.01536,6.28737,6.57846,55946679.018411
1982-08-31,6.67276,7.59256,6.28737,7.54529,102822158.04218
1982-09-30,7.49409,7.93049,7.35032,7.49409,77184599.067607
1982-10-31,7.59256,8.70407,7.49409,8.60806,83103709.427112
1982-11-30,8.65459,9.43121,8.51341,9.28619,68687056.506877
1982-12-31,9.23903,10.0119,9.14046,9.47925,61323893.620287
1983-01-31,9.33352,10.3504,9.09401,10.3504,77063522.354211
1983-02-28,10.2529,10.98,9.96201,10.8807,61862811.363747
1983-03-31,11.0289,11.1243,10.156,10.4955,63645291.209671
1983-04-30,10.4955,11.2675,10.3017,11.2211,47454099.814633
1983-05-31,11.0745,11.2675,10.3504,10.3504,62413625.93108
1983-06-30,10.397,11.559,10.397,11.0289,65253092.625924
1983-07-31,11.0289,11.0289,9.81796,10.0119,51026495.656102
1983-08-31,9.86688,10.2529,9.23903,10.2529,75511294.033602
1983-09-30,10.2055,10.6846,9.81796,10.5427,49168585.478525
1983-10-31,10.4955,11.2211,10.2055,10.3504,53342428.475235
1983-11-30,10.397,11.6552,10.2055,11.462,54100688.513923
1983-12-31,11.366,11.8001,11.0289,11.7535,45846281.896169
1984-01-31,11.7039,11.8001,10.6846,10.8807,49384945.95138
1984-02-29,10.8807,11.2211,10.2055,10.397,67406761.75477
1984-03-31,10.3017,11.1243,9.76768,10.98,62346644.73085
1984-04-30,10.98,11.2675,10.2529,11.1243,53172228.491428
1984-05-31,11.1721,11.3172,10.107,10.6421,54012343.29899
1984-06-30,10.5427,10.9294,10.4483,10.5427,46576742.058326
1984-07-31,10.5427,10.6421,9.67382,10.4955,57620980.532009
1984-08-31,10.4955,11.8986,10.4955,11.366,75811021.13163
1984-09-30,11.2675,11.8986,11.0289,11.1721,67580933.693539
1984-10-31,11.0745,11.8001,10.6846,11.5101,52023926.029808
1984-11-30,11.5101,11.8001,11.0289,11.0745,59043185.4027
1984-12-31,11.0745,11.5101,10.6421,11.366,45662679.579193
1985-01-31,11.2675,13.0581,11.1243,12.8155,79258372.112943
1985-02-28,12.5744,13.0581,12.2853,12.7666,52674006.466769
1985-03-31,12.8155,13.0085,11.7039,11.8522,76371271.154774
1985-04-30,11.8001,12.2853,11.7039,11.8522,53218372.478267
1985-05-31,11.6552,12.3807,11.607,12.1372,72858405.131103
1985-06-30,12.2372,12.5744,11.8522,12.3807,58111261.185547
1985-07-31,12.3807,12.8658,12.0899,12.8658,55175529.48446
1985-08-31,12.9124,12.9124,11.9465,12.2372,39591720.962594
1985-09-30,12.2372,12.4302,11.366,11.5101,55745702.413304
1985-10-31,11.5101,12.4302,11.2675,11.559,63615017.271068
1985-11-30,11.559,13.348,11.559,13.1551,67944180.335936
1985-12-31,12.9124,14.799,12.9124,14.5581,89704645.397655
1986-01-31,14.4131,14.8457,13.2999,14.2195,63390226.707801
1986-02-28,14.2658,15.8146,14.2195,15.5238,62020614.379782
1986-03-31,15.5238,15.9098,14.7527,15.7193,76282437.22055
1986-04-30,15.8146,16.5401,14.3154,15.6704,81116287.368123
1986-05-31,15.6223,16.3463,15.0409,15.9619,73010263.543403
1986-06-30,16.0106,16.5401,15.8146,16.2503,75039371.453781
1986-07-31,16.154,16.5401,14.2658,14.6052,82026380.431096
