Date,Open,Max,Min,Close
1991-08-18,136.49,137.24,136.41,137.24
1991-08-25,138.19,138.19,136.4,137.1
1991-09-01,136.95,137,136.6,136.85
1991-09-08,135.94,136.15,135.41,136.15
1991-09-15,134.9,134.9,133.9,133.9
1991-09-22,133.55,134.49,133.55,134.49
1991-09-29,133.06,133.65,133,133.34
1991-10-06,132.85,133.25,129.95,129.95
1991-10-13,129.31,130.3,129.31,129.75
1991-10-20,130.21,130.21,129.76,129.76
1991-10-27,130.7,131.59,130.7,131.4
1991-11-03,132.14,132.14,130.29,130.29
1991-11-10,128.86,130.31,128.86,130.31
1991-11-17,129.6,130.11,129.6,130.11
1991-11-24,129.41,129.8,129.41,129.5
1991-12-01,127.75,130.26,127.75,130.05
1991-12-08,129.95,129.95,128.05,128.05
1991-12-15,128.4,129.2,128.4,128.81
1991-12-22,128.44,128.54,127.55,127.55
1991-12-29,126.5,127.55,125.5,125.5
1992-01-05,125.7,125.7,124.51,124.85
1992-01-12,124.05,127.15,124.05,127.15
1992-01-19,126.81,128.45,126.81,127.4
1992-01-26,123.65,123.85,123.15,123.4
1992-02-02,125.4,126,125.4,125.59
1992-02-09,125.95,126.11,125.15,125.15
1992-02-16,126.66,127.9,126.66,127.9
1992-02-23,126.95,128.7,126.95,128.7
1992-03-01,129.1,129.65,129.1,129.2
1992-03-08,129.6,132.1,129.6,131.75
1992-03-15,131.94,134.21,131.94,133.56
1992-03-22,133.9,134.01,132.09,134.01
1992-03-29,133.7,133.95,133.1,133.1
1992-04-05,133.04,134.5,132.9,133.25
1992-04-12,132.71,133.26,132.25,132.85
1992-04-19,133.25,134.01,132.7,134.01
1992-04-26,134.4,134.55,134.14,134.55
1992-05-03,133.1,133.4,132.7,132.7
1992-05-10,132.65,133.36,132.39,133.36
1992-05-17,133.15,133.15,130.2,130.2
1992-05-24,128.79,130.25,128.79,129.4
1992-05-31,129.3,129.95,127.7,127.7
1992-06-07,127.4,127.76,126.75,126.75
1992-06-14,127.05,127.55,126.65,126.65
1992-06-21,126.76,127,126.71,126.9
1992-06-28,127.05,127.15,125.45,125.8
1992-07-05,125.15,125.84,124.55,124.71
1992-07-12,124.5,125.7,124.4,125.4
1992-07-19,124.95,125.35,124.6,124.6
1992-07-26,125.25,127.61,125.25,127.61
1992-08-02,127.7,127.9,127.35,127.35
1992-08-09,127.27,127.7,127.26,127.49
1992-08-16,128.05,128.05,126.25,126.25
1992-08-23,125.71,126.26,125.71,126.05
1992-08-30,124.6,124.9,123.25,123.25
1992-09-06,122.95,123.94,122.85,123.15
1992-09-13,122.65,124.19,122.65,124.19
1992-09-20,124.2,124.9,124.2,124.65
1992-09-27,123.7,123.7,120.1,120.39
1992-10-04,119.51,120,119.36,119.36
1992-10-11,119.56,121.86,119.56,121.86
1992-10-18,121.32,121.32,119.75,119.75
1992-10-25,119.71,122,119.71,122
1992-11-01,121.97,123.35,121.97,123.26
1992-11-08,124.02,124.02,122.21,123.15
1992-11-15,123.8,124.45,123.8,123.87
1992-11-22,124.76,124.76,123.44,124.19
1992-11-29,124.04,124.39,123.84,124.39
1992-12-06,124.35,124.92,124.35,124.92
1992-12-13,124.48,124.48,123.48,123.81
1992-12-20,123.6,124.1,122.92,123.23
1992-12-27,123.06,123.89,123.06,123.89
1993-01-03,124.74,124.74,124.59,124.74
1993-01-10,125.42,125.42,125.03,125.3
1993-01-17,125.04,126.08,125.04,126.08
1993-01-24,125.77,125.77,124.83,124.83
1993-01-31,123.29,124.76,123.29,124.76
1993-02-07,124.99,124.99,124.28,124.37
1993-02-14,123.93,123.93,120.33,120.81
1993-02-21,120.88,120.88,119.13,119.13
1993-02-28,116.3,118.01,116.3,118.01
1993-03-07,118.55,118.55,116.76,117.68
1993-03-14,116.52,117.99,116.52,117.74
1993-03-21,118.48,118.48,115.98,115.98
1993-03-28,115.62,117.35,115.62,116.3
1993-04-04,116.8,116.8,114.08,114.22
1993-04-11,113.53,113.95,113.2,113.2
1993-04-18,112.72,113.89,112.59,112.59
1993-04-25,110.95,111.02,110.02,110.62
1993-05-02,110.35,112.38,110.35,111.21
1993-05-09,110.89,110.89,110.16,110.32
1993-05-16,111.74,111.74,110.86,110.86
1993-05-23,111.39,111.54,110.32,110.32
1993-05-30,110.35,110.35,107.23,107.23
1993-06-06,107.03,107.72,107.03,107.72
1993-06-13,107.31,107.31,106.07,106.07
1993-06-20,105.13,109.24,105.13,109.24
1993-06-27,111.03,111.33,106.1,106.1
1993-07-04,106.06,108.73,106.06,108.73
1993-07-11,109.09,109.62,107.66,109.62
1993-07-18,109.56,109.56,107.35,108.15
1993-07-25,108.51,108.51,106.76,106.76
1993-08-01,106.94,106.94,105,105
1993-08-08,104.35,104.78,104.25,104.41
1993-08-15,104.81,104.81,102.23,102.23
1993-08-22,101.07,104.97,101.07,104.97
1993-08-29,103.25,104.89,103.25,103.92
1993-09-05,103.85,105.89,103.85,105.02
1993-09-12,104.07,106.27,104.07,106.27
1993-09-19,106.28,106.28,104.38,104.44
1993-09-26,104.25,106.43,104.25,105.96
1993-10-03,105.92,106.02,105.19,106.02
1993-10-10,105.76,105.76,105.1,105.53
1993-10-17,105.97,107.41,105.97,107.03
1993-10-24,107.47,108.23,107.07,108.19
1993-10-31,108.34,108.57,108.07,108.41
1993-11-07,108.25,108.25,107.22,108.13
1993-11-14,108.01,108.29,106.07,106.07
1993-11-21,106.56,108.29,106.54,108.29
1993-11-28,108.14,108.72,108.14,108.72
1993-12-05,109.29,109.29,108.38,108.38
1993-12-12,108.19,109.18,107.62,109.18
1993-12-19,108.96,110.09,108.96,110.09
1993-12-26,110.51,110.96,110.51,110.89
1994-01-02,111.53,112.02,111.35,111.64
1994-01-09,112.5,113.13,111.87,111.87
1994-01-16,112.4,112.4,111.25,111.25
1994-01-23,111.27,111.51,110.66,111.21
1994-01-30,111.76,111.76,109.43,109.43
1994-02-06,108.71,109.09,108.01,109.09
1994-02-13,108.54,108.66,107.68,107.68
1994-02-20,104.11,104.16,103.74,104.16
1994-02-27,106.33,106.33,104.67,104.67
1994-03-06,104.16,105.63,103.66,105.63
1994-03-13,105.68,105.86,105.07,105.07
1994-03-20,105.98,106.14,105.79,106.14
1994-03-27,106.23,106.32,104.88,104.88
1994-04-03,104.07,104.07,102.42,103.75
1994-04-10,103.28,105.07,103.28,105.07
1994-04-17,103.44,104.11,103.44,103.59
1994-04-24,103.31,103.66,103.2,103.63
1994-05-01,103.24,103.24,101.72,102.03
1994-05-08,101.73,102.7,101.18,102.7
1994-05-15,102.72,104.89,102.72,104.89
1994-05-22,104.76,104.76,103.5,103.97
1994-05-29,104.33,104.97,104.25,104.25
1994-06-05,104.57,105.32,104.57,105.32
1994-06-12,105.22,105.22,103.74,103.74
1994-06-19,102.97,103.27,102.62,102.73
1994-06-26,101.89,101.89,100.47,100.47
1994-07-03,100.08,100.08,98.38,98.51
1994-07-10,98.92,98.93,98.16,98.16
1994-07-17,97.32,98.41,96.89,98.08
1994-07-24,98.47,99.19,98.47,98.56
1994-07-31,98.88,100.02,98.07,100.02
1994-08-07,99.35,100.41,99.35,100.41
1994-08-14,101.37,101.37,100.26,100.26
1994-08-21,100.07,100.32,98.52,98.52
1994-08-28,97.96,100.43,97.96,100.43
1994-09-04,100.07,100.07,99.16,99.16
1994-09-11,98.77,99.48,98.77,99.15
1994-09-18,98.84,99.33,98.71,98.71
1994-09-25,98.64,98.64,97.62,97.62
1994-10-02,98.61,99.03,98.3,99.03
1994-10-09,99.53,100.39,99.42,100.39
1994-10-16,100.43,100.43,98.38,98.38
1994-10-23,97.65,97.75,97.24,97.35
1994-10-30,97.23,97.33,96.85,97.33
1994-11-06,96.88,98.12,96.73,97.58
1994-11-13,97.17,97.95,96.93,97.95
1994-11-20,98.17,98.44,98.08,98.44
1994-11-27,98.32,98.76,98.13,98.76
1994-12-04,98.61,100.34,98.61,100.34
1994-12-11,100.28,100.38,100.12,100.19
1994-12-18,100,100.3,100,100.23
1994-12-25,100.14,100.39,100.13,100.13
1995-01-01,100.46,100.46,99.56,99.56
1995-01-08,99.55,101.45,99.55,101.3
1995-01-15,101.25,101.35,98.25,98.55
1995-01-22,98.56,100.02,97.97,99.37
1995-01-29,99.38,100.21,99,99.37
1995-02-05,99.34,99.85,98.1,99.8
1995-02-12,99.72,99.72,98.6,98.91
1995-02-19,98.75,99.02,96.9,97.27
1995-02-26,97.08,97.63,96.3,96.95
1995-03-05,97.33,97.5,93.65,94.1
1995-03-12,93.87,93.98,88.6,90.9
1995-03-19,90.68,91.46,88.8,89.1
1995-03-26,88.81,89.87,87.95,88.95
1995-04-02,88.82,90.25,86.1,86.6
1995-04-09,86.52,87.23,83.53,83.9
1995-04-16,84.15,84.88,80.1,83.29
1995-04-23,82.8,84,79.7,82.52
1995-04-30,82.02,84.55,81.15,84.25
1995-05-07,84.24,84.36,82.9,83.95
1995-05-14,83.28,87.1,82.65,86.7
1995-05-21,86.9,87.75,86,86.86
1995-05-28,86.95,87.8,82.4,82.78
1995-06-04,82.55,85.85,81.77,84.3
1995-06-11,84.24,85.3,83.95,84.29
1995-06-18,84.3,85.05,83.5,84.67
1995-06-25,84.35,85.05,83.8,84.3
1995-07-02,84.14,86.05,83.5,84.6
1995-07-09,84.75,87.1,84.45,86.7
1995-07-16,86.75,88.45,86.65,87.8
1995-07-23,87.98,89.2,86.8,88.47
1995-07-30,88.64,88.85,87.05,88.1
1995-08-06,88.2,91.45,87.75,91.35
1995-08-13,91.45,94.01,90.87,93.95
1995-08-20,94.24,99,93.18,97.4
1995-08-27,97.39,97.68,95.93,96.65
1995-09-03,96.6,99.39,96.1,97.35
